"","description","sampleID","Date","Years","Month","Day","month.numeric","week","Period","Mean_temp_t0_t7","Cumul_precip_t1_t7_mm","Site","Bloom","Tot.P_ug","Tot.N_mg","Dissolved.P","Dissolved.N","Microcystin","P_range","N_range","Temp.water","profondeur_secchi_cm","microcystin_ug_L","micro.sum","doli.sum","cyano.sum","micro.relab.sum","doli.relab.sum","cyano.relab.sum","micro.helli.sum","doli.helli.sum","cyano.helli.sum"
"08.08.2009.p2","08.08.2009.p2","FLD0266_08_08_2009_p2","2009-8-08",2009,"August",8,8,32,"Summer",18.9,31.8,"Pelagic","no",NA,NA,9.436,0.376,0.623,NA,NA,26.5,NA,NA,7090,2171,13870,0.0762013262684995,0.023333297507604,0.149070859710027,0.446119016272043,0.360080060477815,1.86248490157382
"22.08.2009.1","22.08.2009.1","FLD0267_22_08_2009_1","2009-8-22",2009,"August",22,8,34,"Summer",22.95,19.4,"Littoral","no",NA,NA,NA,NA,NA,NA,NA,25.79,107.75,NA,207,82,669,0.0522199798183653,0.020686175580222,0.168768920282543,0.318792931363236,0.259158427522255,1.52701624779099
"22.08.2009.p1","22.08.2009.p1","FLD0268_22_08_2009_p1","2009-8-22",2009,"August",22,8,34,"Summer",22.95,19.4,"Pelagic","no",NA,NA,NA,NA,NA,"Mesotrophic","Eutrophic",NA,NA,0.06,442,321,9323,0.00745224326010352,0.00541214951695301,0.157188379895803,0.118514242020044,0.115017955168817,2.11569175346439
"02.09.2009.1","02.09.2009.1","FLD0269_02_09_2009_1","2009-9-02",2009,"September",2,9,35,"Summer",14.475,19,"Littoral","no",58.47,NA,NA,NA,NA,"Mesotrophic","Eutrophic",NA,NA,0.135,202,1124,8000,0.00344745195753831,0.0191828514865003,0.136532750793597,0.0970364605846809,0.225488037897337,1.97442483782705
"02.09.2009.2","02.09.2009.2","FLD0270_02_09_2009_2","2009-9-02",2009,"September",2,9,35,"Summer",14.475,19,"Pelagic","no",58.68,NA,NA,NA,0.135,NA,NA,NA,NA,NA,103,265,2425,0.00677052520870308,0.0174193124301584,0.159403142049563,0.0822832012545883,0.275073555942882,2.06284208855309
"16.09.2009.1","16.09.2009.1","FLD0271_16_09_2009_1","2009-9-16",2009,"September",16,9,37,"Fall",14.9,5.6,"Littoral","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,4183,14776,0.000831767793377407,0.0599876668913396,0.211900015774906,0.0400172109256571,0.367286943307932,2.42517733442626
"16.09.2009.2","16.09.2009.2","FLD0272_16_09_2009_2","2009-9-16",2009,"September",16,9,37,"Fall",14.9,5.6,"Pelagic","yes",NA,NA,NA,NA,NA,"Mesotrophic","Eutrophic",NA,105.25,0.0507,55,4857,8322,0.00168685784388897,0.148964882686704,0.25523692685171,0.0410713749938929,0.757609324420458,2.38505928062953
"23.09.2009.1","23.09.2009.1","FLD0273_23_09_2009_1","2009-9-23",2009,"September",23,9,38,"Fall",13.625,24.4,"Littoral","no",38.51,NA,18.39,NA,0.0507,"Mesotrophic","Eutrophic",17.45,134.25,0.0214,28,2888,4970,0.000937520926806402,0.0966985870220317,0.166409964508136,0.0306189635162003,0.622295286376188,1.93041093679503
"23.09.2009.2","23.09.2009.2","FLD0274_23_09_2009_2","2009-9-23",2009,"September",23,9,38,"Fall",13.625,24.4,"Pelagic","no",44.94,NA,23.59,NA,0.0214,"Mesotrophic","Eutrophic",NA,NA,1e-04,0,261,2090,0,0.00673114119922631,0.0539007092198582,0,0.133057797416816,1.21126664021323
"19.10.2010.1","19.10.2010.1","FLD0292_19_10_2010_1","2010-10-19",2010,"October",19,10,42,"Fall",6.4375,55.6,"Littoral","no",NA,1148,NA,0.976,NA,NA,NA,8.5,72.75,0.01,7,64,569,0.000133776707564117,0.0012231013263005,0.0108741352291404,0.0115661881172717,0.0483810376440754,0.342812136970499
"19.10.2010.2","19.10.2010.2","FLD0293_19_10_2010_2","2010-10-19",2010,"October",19,10,42,"Fall",6.4375,55.6,"Pelagic","no",NA,1054,NA,0.938,NA,"Mesotrophic","Mesotrophic",9,NA,0,0,42,497,0,0.00188222640494757,0.0222730124585462,0,0.0609124239321964,0.475754002742941
"05.05.2010.1","05.05.2010.1","FLD0277_05_05_2010_1","2010-5-05",2010,"May",5,5,18,"Spring",12.45,42.2,"Littoral","no",NA,836,NA,0.59,NA,NA,NA,13.4,110.75,NA,0,0,268,0,0,0.00646374993970383,0,0,0.248982596915693
"05.05.2010.2","05.05.2010.2","FLD0278_05_05_2010_2","2010-5-05",2010,"May",5,5,18,"Spring",12.45,42.2,"Pelagic","no",NA,742,NA,0.596,NA,NA,NA,18.6,197.75,NA,4,0,1324,8.98391878537418e-05,0,0.0297367711795885,0.00947835364679657,0,0.774628970503677
"16.06.2010.1","16.06.2010.1","FLD0279_16_06_2010_1","2010-6-16",2010,"June",16,6,24,"Summer",14.6625,17.2,"Littoral","no",NA,408,NA,0.471,NA,NA,NA,18.7,77.75,NA,0,0,307,0,0,0.0179953106682298,0,0,0.277531362173563
"16.06.2010.2","16.06.2010.2","FLD0280_16_06_2010_2","2010-6-16",2010,"June",16,6,24,"Summer",14.6625,17.2,"Pelagic","no",NA,256,NA,0.362,NA,NA,NA,NA,NA,0.38,7,2,670,0.000308928019771393,8.82651485061124e-05,0.0295688247495476,0.0175763483059307,0.00939495335305675,0.45077129244744
"05.07.2010.1","05.07.2010.1","FLD0281_05_07_2010_1","2010-7-05",2010,"July",5,7,27,"Summer",19.575,18.2,"Littoral","no",NA,447,NA,0.382,NA,"Mesotrophic","Mesotrophic",28.6,167.75,0.993,92,15,627,0.0032662335356978,0.000532538076472468,0.0222600915965492,0.0571509714326695,0.0230767865282944,0.549958907601055
"12.07.2010.1","12.07.2010.1","FLD0282_12_07_2010_1","2010-7-12",2010,"July",12,7,28,"Summer",25.2375,29.8,"Littoral","no",19.701,439,9.413,0.3,NA,"Mesotrophic","Mesotrophic",27.4,287.75,0.06,804,0,4403,0.0214657589106928,0,0.117554398611667,0.241412139423798,0,2.11477010715427
"12.07.2010.2","12.07.2010.2","FLD0283_12_07_2010_2","2010-7-12",2010,"July",12,7,28,"Summer",25.2375,29.8,"Pelagic","no",27.861,316,13.366,0.279,NA,"Eutrophic","Mesotrophic",24.2,117.75,2300,89,0,2033,0.00255600229753015,0,0.058385985066054,0.0505569213612751,0,0.887240047126717
"26.07.2010.1","26.07.2010.1","FLD0284_26_07_2010_1","2010-7-26",2010,"July",26,7,30,"Summer",20.35,30.6,"Littoral","yes",111.861,1180,28.972,0.489,NA,NA,NA,24.64,NA,0.153,14787,396,18171,0.225332581564391,0.00603446962193134,0.276899867424531,0.744280761664002,0.0890392018528387,1.62534146380693
"10.08.2010.1","10.08.2010.1","FLD0285_10_08_2010_1","2010-8-10",2010,"August",10,8,32,"Summer",19.9625,103.2,"Littoral","yes",NA,NA,NA,NA,NA,NA,NA,22.9,NA,0.516,100,1290,8282,0.00301695528872262,0.0389187232245218,0.249864237012007,0.0774867608306179,0.445698974694465,2.37573382660438
"10.08.2010.2","10.08.2010.2","FLD0286_10_08_2010_2","2010-8-10",2010,"August",10,8,32,"Summer",19.9625,103.2,"Pelagic","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.378,527,1090,13652,0.0101788542511685,0.0210530382045042,0.263684474832928,0.173453651249698,0.242244808383222,2.22424444118172
"22.08.2010.1","22.08.2010.1","FLD0289_22_08_2010_1","2010-8-22",2010,"August",22,8,34,"Summer",19.37,23,"Littoral","yes",NA,748,NA,0.401,NA,"Mesotrophic","Mesotrophic",16.42,198.25,0.02,19,101,13488,0.000505346029044098,0.00268631310176073,0.358742486302463,0.0224799027810197,0.0732973023459143,1.0139669497329
"16.09.2010.1","16.09.2010.1","FLD0290_16_09_2010_1","2010-9-16",2010,"September",16,9,37,"Fall",13.725,37.4,"Littoral","no",43.482,445,2.211,0.388,NA,"Mesotrophic","Mesotrophic",16.2,162.75,0.06,10,211,675,0.000414748455062005,0.0087511924018083,0.0279955207166853,0.0203653739239427,0.144880693100313,0.464210033234386
"16.09.2010.2","16.09.2010.2","FLD0291_16_09_2010_2","2010-9-16",2010,"September",16,9,37,"Fall",13.725,37.4,"Pelagic","no",50.83,420,26.108,0.306,NA,NA,NA,8.98,62.75,0,22,468,4410,0.000553125157137829,0.0117664806154774,0.110876451953537,0.0235186129934958,0.234638530807002,1.23877655035434
"12.10.2011.1","12.10.2011.1","FLD0309_12_10_2011_1","2011-10-12",2011,"October",12,10,41,"Fall",11.6625,0,"Littoral","no",114.903,863,52.792,0.605,NA,"Mesotrophic","Mesotrophic",NA,89,0,167,37,2768,0.00466428332029941,0.00103340408892861,0.0773097977879567,0.0919842285714247,0.0449453308933498,0.998679092171551
"12.10.2011.2","12.10.2011.2","FLD0310_12_10_2011_2","2011-10-12",2011,"October",12,10,41,"Fall",11.6625,0,"Pelagic","no",183.097,1211,42.586,0.606,NA,"Mesotrophic","Mesotrophic",22.5,144,0.574,2226,115,6629,0.0735867768595041,0.00380165289256198,0.219140495867769,0.371043561386304,0.0810204197632611,1.47275819308934
"15.05.2011.1","15.05.2011.1","FLD0294_15_05_2011_1","2011-5-15",2011,"May",15,5,20,"Spring",13.05,44.4,"Littoral","no",64.338,655,36.815,0.575,NA,"Oligotrophic","Mesotrophic",20.5,125.25,0,0,0,1558,0,0,0.0368591639262817,0,0,1.08680098934403
"21.06.2011.1","21.06.2011.1","FLD0297_21_06_2011_1","2011-6-21",2011,"June",21,6,25,"Summer",17.95,4.2,"Littoral","no",37.607,955,18.149,0.526,0.0904,"Oligotrophic","Mesotrophic",25.37,170.25,0.17,325,1298,8827,0.00385962828810641,0.0154147615937296,0.10482750430497,0.102649985764561,0.261408476234899,1.77807115731715
"05.07.2011.1","05.07.2011.1","FLD0299_05_07_2011_1","2011-7-05",2011,"July",5,7,27,"Summer",20.1375,39.8,"Littoral","no",16.954,583,16.621,0.449,0.17,"Mesotrophic","Mesotrophic",27.03,NA,0.81,318,11893,15786,0.00193488326812736,0.0723634173202475,0.0960505260083602,0.0605983955675147,0.736937025355627,1.4380697941299
"05.07.2011.2","05.07.2011.2","FLD0300_05_07_2011_2","2011-7-05",2011,"July",5,7,27,"Summer",20.1375,39.8,"Pelagic","no",31.697,600,15.825,0.46,0.374,"Mesotrophic","Mesotrophic",25.25,135.25,0.71,15,670,740,0.00238777459407832,0.106653931868832,0.11779687997453,0.0488648605244947,0.614076958572708,0.84304159050924
"19.07.2011.1","19.07.2011.1","FLD0301_19_07_2011_1","2011-7-19",2011,"July",19,7,29,"Summer",20.8,4,"Littoral","no",57.995,838,39.201,0.533,NA,"Eutrophic","Eutrophic",27.1,66.5,8.35,271,1091,1960,0.0080170399077005,0.03227524184244,0.0579830192586457,0.126295791717638,0.46072240295263,1.07213223054161
"19.07.2011.2","19.07.2011.2","FLD0302_19_07_2011_2","2011-7-19",2011,"July",19,7,29,"Summer",20.8,4,"Pelagic","no",42.123,681,14.563,0.462,NA,"Eutrophic","Eutrophic",26.72,NA,18.5,470,6085,8757,0.00706193466959161,0.0914295158818403,0.131577365748114,0.135087993304304,0.710175869487398,1.78552196067481
"09.08.2011.1","09.08.2011.1","FLD0303_09_08_2011_1","2011-8-09",2011,"August",9,8,32,"Summer",20.5625,22.6,"Littoral","yes",337.647,8612,22.798,0.458,NA,"Eutrophic","Mesotrophic",22.2,80.75,1.82,888,31304,32824,0.018156538807557,0.640058886071808,0.671137646192852,0.191054741570573,1.60944987739174,2.13190253805669
"09.08.2011.2","09.08.2011.2","FLD0304_09_08_2011_2","2011-8-09",2011,"August",9,8,32,"Summer",20.5625,22.6,"Pelagic","yes",451.474,13422,46.44,1.011,NA,"Eutrophic","Mesotrophic",NA,93.25,3.63,317,36933,37667,0.00547249939578082,0.637589338121051,0.650260677416014,0.0945787936735023,1.57480916020405,1.9208465187652
"23.08.2011.1","23.08.2011.1","FLD0305_23_08_2011_1","2011-8-23",2011,"August",23,8,34,"Summer",19.1875,55.6,"Littoral","no",211.889,867,39.883,0.441,NA,"Mesotrophic","Mesotrophic",20.2,90.25,1.1,934,358,3010,0.0228127595134581,0.00874407698695716,0.0735186361193884,0.21034919325689,0.212284864459339,1.27917931857614
"23.08.2011.2","23.08.2011.2","FLD0306_23_08_2011_2","2011-8-23",2011,"August",23,8,34,"Summer",19.1875,55.6,"Pelagic","yes",159.915,923,45.155,0.335,NA,"Mesotrophic","Mesotrophic",NA,80.25,3.25,3659,1989,9350,0.0982651197765603,0.0534160489848534,0.251101084971533,0.439101887407338,0.488666871157954,2.05285074325857
"12.09.2011.1","12.09.2011.1","FLD0307_12_09_2011_1","2011-9-12",2011,"September",12,9,37,"Summer",16.35,72.4,"Littoral","no",31.164,1271,11.091,0.957,NA,"Eutrophic","Mesotrophic",14.8,92.75,0.335,752,940,5987,0.0160238653313446,0.0200298316641807,0.127572981035585,0.167081661762227,0.329051892760769,2.09087428472139
"12.09.2011.2","12.09.2011.2","FLD0308_12_09_2011_2","2011-9-12",2011,"September",12,9,37,"Summer",16.35,72.4,"Pelagic","no",59.618,1070,26.568,0.716,NA,"Eutrophic","Mesotrophic",14.2,90.25,3.46,2618,4210,11988,0.0464868512172168,0.0747554024539659,0.21286645240336,0.370351615098411,0.657892865392977,2.31485304148214
"17.10.2012.1","17.10.2012.1","FLD0320_17_10_2012_1","2012-10-17",2012,"October",17,10,42,"Fall",7.8,24,"Littoral","no",54.588,830,34.225,0.763,0.00541,"Mesotrophic","Eutrophic",22.9,210.25,0.07,25,148,2854,0.000265598606138515,0.00157234374834001,0.0303207368767729,0.0162971962661838,0.0456321495453146,0.720100498858837
"17.10.2012.2","17.10.2012.2","FLD0321_17_10_2012_2","2012-10-17",2012,"October",17,10,42,"Fall",7.8,24,"Pelagic","no",83.618,1129,35.563,1.081,0.0197,"Mesotrophic","Mesotrophic",25.7,190.25,0.13,0,39,372,0,0.00388562319418153,0.0370628673906546,0,0.0623347671382634,0.569808165369686
"24.04.2012.1","24.04.2012.1","FLD0311_24_04_2012_1","2012-4-24",2012,"April",24,4,17,"Spring",8.375,35.4,"Littoral","no",34.068,567,0.79,0.518,NA,"Mesotrophic","Mesotrophic",NA,237.75,0.795,6,0,1294,0.000240731824747232,0,0.0519178302038196,0.0155155349487935,0,1.071173054844
"07.06.2012.1","07.06.2012.1","FLD0312_07_06_2012_1","2012-6-07",2012,"June",7,6,23,"Spring",14.0375,14.4,"Littoral","no",49.33,892,34.315,0.727,NA,"Eutrophic","Mesotrophic",25.9,74,8.94,437,0,4651,0.00950330549756437,0,0.101143876130828,0.133689254980739,0,1.57698758189132
"07.06.2012.2","07.06.2012.2","FLD0313_07_06_2012_2","2012-6-07",2012,"June",7,6,23,"Spring",14.0375,14.4,"Pelagic","no",42.554,644,28.8,0.586,NA,"Mesotrophic","Mesotrophic",25,140.25,1.67,142,0,1291,0.00359584704988605,0,0.0326918207141048,0.0847512036197203,0,0.745557878444827
"20.07.2012.1","20.07.2012.1","FLD0314_20_07_2012_1","2012-7-20",2012,"July",20,7,29,"Summer",21.0625,37.4,"Littoral","no",139.226,1041,62.419,0.376,8.94,"Eutrophic","Mesotrophic",25.8,62.75,4.44,4571,10389,19736,0.0373359253118134,0.0848573458902711,0.161203636393338,0.318446808072568,0.67175202438748,1.63181387656347
"20.07.2012.2","20.07.2012.2","FLD0315_20_07_2012_2","2012-7-20",2012,"July",20,7,29,"Summer",21.0625,37.4,"Pelagic","no",85.94,452,56.307,0.285,1.67,"Mesotrophic","Mesotrophic",24.5,92.75,1.56,1009,2297,4897,0.0159844116342437,0.0363886952664597,0.0775774665737279,0.193313725296674,0.317334883153735,1.00133060927665
"14.08.2012.1","14.08.2012.1","FLD0316_14_08_2012_1","2012-8-14",2012,"August",14,8,33,"Summer",21.8875,36,"Littoral","yes",100.024,994,13.976,0.304,4.44,"Mesotrophic","Mesotrophic",18,65.25,81.9,37,5632,5841,0.00279540646721064,0.425506195225144,0.441296464188577,0.0528716035997646,1.2304436767971,1.50627785044284
"14.08.2012.2","14.08.2012.2","FLD0317_14_08_2012_2","2012-8-14",2012,"August",14,8,33,"Summer",21.8875,36,"Pelagic","yes",91.021,622,14.103,0.25,1.56,"Mesotrophic","Mesotrophic",9.5,176.5,0.00541,195,30861,37487,0.00162664019553049,0.257434579868034,0.3127069795377,0.0569696455677481,1.17911102366334,2.17005325874706
"17.09.2012.2","17.09.2012.2","FLD0319_17_09_2012_2","2012-9-17",2012,"September",17,9,38,"Fall",14.825,6,"Pelagic","no",74.969,635,37.416,0.363,81.9,"Mesotrophic","Eutrophic",24.1,85.25,0.01,197,2131,5187,0.00769831965611567,0.0832747166862055,0.202696365767878,0.123993108239124,0.629718451007779,1.38012743002045
"23.10.2013.1","23.10.2013.1","FLD0332_23_10_2013_1","2013-10-23",2013,"October",23,10,43,"Fall",10.675,16.6,"Littoral","yes",92.716,769,38.356,0.454,NA,"","",NA,NA,NA,16942,35,17641,0.399867827893035,0.000826075668531237,0.416365739101702,0.705019981280568,0.0287415321187169,1.12549972795248
"23.10.2013.2","23.10.2013.2","FLD0333_23_10_2013_2","2013-10-23",2013,"October",23,10,43,"Fall",10.675,16.6,"Pelagic","yes",73.558,537,45.396,0.443,NA,"","",NA,NA,NA,6355,0,6887,0.232877716295943,0,0.252372750925281,0.624164544451197,0,0.98696805931002
"05.06.2013.1","05.06.2013.1","FLD0323_05_06_2013_1","2013-6-05",2013,"June",5,6,23,"Spring",18.7375,2.8,"Littoral","no",48.897,1996,30.864,1.942,NA,"Mesotrophic","Mesotrophic",26.2,237.75,0.02,0,0,1328,0,0,0.0308242230113966,0,0,0.804097776646669
"05.06.2013.2","05.06.2013.2","FLD0324_05_06_2013_2","2013-6-05",2013,"June",5,6,23,"Spring",18.7375,2.8,"Pelagic","no",45.035,1506,31.663,1.504,NA,"Mesotrophic","Mesotrophic",21,70.25,0.2,3,0,545,7.17240060248165e-05,0,0.0130298610945083,0.00846900265821286,0,0.460729089826383
"03.07.2013.1","03.07.2013.1","FLD0325_03_07_2013_1","2013-7-03",2013,"July",3,7,27,"Summer",20.27,18.4,"Littoral","no",30.088,971,19.038,0.9,NA,"Mesotrophic","Mesotrophic",20.5,187.25,0.05,27,152,2932,0.000758576124518866,0.00427050262692102,0.082375748040345,0.0275422607009458,0.0653490828315212,0.589999084395561
"03.07.2013.2","03.07.2013.2","FLD0326_03_07_2013_2","2013-7-03",2013,"July",3,7,27,"Summer",20.27,18.4,"Pelagic","no",29.595,1051,19.53,1.025,NA,"Eutrophic","Eutrophic",23.2,90.25,1.37,109,213,7840,0.00111916545167053,0.00218699303858554,0.0804977719366696,0.0450828143511676,0.0661315615802493,0.604916039667055
"16.08.2013.1","16.08.2013.1","FLD0327_16_08_2013_1","2013-8-16",2013,"August",16,8,33,"Summer",17.1875,32.8,"Littoral","yes",90.795,1166,21.579,0.581,NA,"Mesotrophic","Mesotrophic",24.6,142.75,0.8,489,6890,7716,0.0111351474439258,0.156893999772287,0.175703062734829,0.105523208082041,0.759776950490443,1.17863657158515
"27.08.2013.1","27.08.2013.1","FLD0329_27_08_2013_1","2013-8-27",2013,"August",27,8,35,"Summer",19.075,13,"Littoral","yes",148.474,1693,20.866,0.509,NA,"Eutrophic","Eutrophic",17,137.75,7.24,745,8511,9556,0.0296564627204331,0.338800206998129,0.380398869471757,0.310648966220708,1.13586740116351,1.72301510827856
"17.09.2013.1","17.09.2013.1","FLD0330_17_09_2013_1","2013-9-17",2013,"September",17,9,38,"Fall",14.475,96.4,"Littoral","yes",194.865,2186,32.565,0.634,NA,"Mesotrophic","Mesotrophic",11,90.25,0.1,7356,8838,16787,0.234021569687908,0.28116947157446,0.534056564756784,0.741640967024435,1.07891709205363,2.13931106449112
"17.09.2013.2","17.09.2013.2","FLD0331_17_09_2013_2","2013-9-17",2013,"September",17,9,38,"Fall",14.475,96.4,"Pelagic","yes",153.644,1409,65.148,0.53,NA,"Mesotrophic","Mesotrophic",11.2,160.25,0.12,7903,4882,13163,0.254861491824954,0.157438163113935,0.424489664291012,0.767083307825153,0.812608084037471,1.83478465070814
